departure_time,file_name,journey_pattern_ref,journey_ticket_machine_code,line_ref,operator_ref,service_ref,vehicle_journey_code
09:40:00,404-21-404-_-y05-2_1.xml,JP3,11,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ76
09:40:00,404-21-404-_-y05-2_1.xml,JP3,11,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ77
09:54:00,404-21-404-_-y05-2_1.xml,JP7,16,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ78
09:54:00,404-21-404-_-y05-2_1.xml,JP7,16,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ79
10:10:00,404-21-404-_-y05-2_1.xml,JP3,13,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ80
10:10:00,404-21-404-_-y05-2_1.xml,JP3,13,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ81
10:24:00,404-21-404-_-y05-2_1.xml,JP7,18,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ82
10:24:00,404-21-404-_-y05-2_1.xml,JP7,18,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ83
10:40:00,404-21-404-_-y05-2_1.xml,JP3,15,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ84
10:40:00,404-21-404-_-y05-2_1.xml,JP3,15,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ85
10:54:00,404-21-404-_-y05-2_1.xml,JP7,20,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ86
10:54:00,404-21-404-_-y05-2_1.xml,JP7,20,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ87
11:10:00,404-21-404-_-y05-2_1.xml,JP3,17,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ88
11:10:00,404-21-404-_-y05-2_1.xml,JP3,17,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ89
11:24:00,404-21-404-_-y05-2_1.xml,JP7,22,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ90
11:24:00,404-21-404-_-y05-2_1.xml,JP7,22,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ91
11:40:00,404-21-404-_-y05-2_1.xml,JP3,19,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ92
11:40:00,404-21-404-_-y05-2_1.xml,JP3,19,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ93
11:54:00,404-21-404-_-y05-2_1.xml,JP7,24,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ94
11:54:00,404-21-404-_-y05-2_1.xml,JP7,24,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ95
12:10:00,404-21-404-_-y05-2_1.xml,JP3,21,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ96
12:10:00,404-21-404-_-y05-2_1.xml,JP3,21,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ97
12:24:00,404-21-404-_-y05-2_1.xml,JP7,26,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ98
12:24:00,404-21-404-_-y05-2_1.xml,JP7,26,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ99
12:40:00,404-21-404-_-y05-2_1.xml,JP3,23,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ100
12:40:00,404-21-404-_-y05-2_1.xml,JP3,23,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ101
12:54:00,404-21-404-_-y05-2_1.xml,JP7,28,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ102
12:54:00,404-21-404-_-y05-2_1.xml,JP7,28,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ103
13:10:00,404-21-404-_-y05-2_1.xml,JP3,25,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ104
13:10:00,404-21-404-_-y05-2_1.xml,JP3,25,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ105
13:24:00,404-21-404-_-y05-2_1.xml,JP7,30,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ106
13:24:00,404-21-404-_-y05-2_1.xml,JP7,30,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ107
13:40:00,404-21-404-_-y05-2_1.xml,JP3,27,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ108
13:40:00,404-21-404-_-y05-2_1.xml,JP3,27,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ109
13:54:00,404-21-404-_-y05-2_1.xml,JP8,32,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ110
13:54:00,404-21-404-_-y05-2_1.xml,JP8,32,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ111
14:10:00,404-21-404-_-y05-2_1.xml,JP4,29,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ112
14:10:00,404-21-404-_-y05-2_1.xml,JP4,29,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ113
14:24:00,404-21-404-_-y05-2_1.xml,JP6,34,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ114
14:24:00,404-21-404-_-y05-2_1.xml,JP6,34,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ115
14:40:00,404-21-404-_-y05-2_1.xml,JP1,31,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ116
14:40:00,404-21-404-_-y05-2_1.xml,JP1,31,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ117
14:54:00,404-21-404-_-y05-2_1.xml,JP6,36,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ118
14:54:00,404-21-404-_-y05-2_1.xml,JP6,36,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ119
15:10:00,404-21-404-_-y05-2_1.xml,JP1,33,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ120
15:10:00,404-21-404-_-y05-2_1.xml,JP1,33,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ121
15:24:00,404-21-404-_-y05-2_1.xml,JP6,38,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ122
15:24:00,404-21-404-_-y05-2_1.xml,JP6,38,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ123
15:40:00,404-21-404-_-y05-2_1.xml,JP1,35,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ124
15:40:00,404-21-404-_-y05-2_1.xml,JP1,35,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ125
15:54:00,404-21-404-_-y05-2_1.xml,JP6,40,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ126
15:54:00,404-21-404-_-y05-2_1.xml,JP6,40,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ127
16:10:00,404-21-404-_-y05-2_1.xml,JP1,37,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ128
16:10:00,404-21-404-_-y05-2_1.xml,JP1,37,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ129
16:24:00,404-21-404-_-y05-2_1.xml,JP6,42,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ130
16:24:00,404-21-404-_-y05-2_1.xml,JP6,42,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ131
16:40:00,404-21-404-_-y05-2_1.xml,JP1,39,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ132
16:40:00,404-21-404-_-y05-2_1.xml,JP1,39,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ133
16:54:00,404-21-404-_-y05-2_1.xml,JP6,44,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ134
