common_name,file_name,latitude,longitude,stop_id
Coulsdon Rise,tfl_21-404-_-y05-6_qyPH39c.xml,,,490005641N
Coulsdon Rise,tfl_21-404-_-y05-6_qyPH39c.xml,,,490005641S
Keston Avenue,tfl_21-404-_-y05-6_qyPH39c.xml,,,490005649E
Keston Avenue,tfl_21-404-_-y05-6_qyPH39c.xml,,,490005649W
Downs Road,tfl_21-404-_-y05-6_qyPH39c.xml,,,490006183H
Hawarden Road,tfl_21-404-_-y05-6_qyPH39c.xml,,,40004410093A
Hawarden Road,tfl_21-404-_-y05-6_qyPH39c.xml,,,40004410093B
Caterham Drive / Keston Avenue,tfl_21-404-_-y05-6_qyPH39c.xml,,,490007931E
Caterham Drive / Keston Avenue,tfl_21-404-_-y05-6_qyPH39c.xml,,,490007931W
Waddington Avenue/Homefield Rd,tfl_21-404-_-y05-6_qyPH39c.xml,,,490008324S
Waddington Avenue/Homefield Rd,tfl_21-404-_-y05-6_qyPH39c.xml,,,490008324N
Lacey Drive,tfl_21-404-_-y05-6_qyPH39c.xml,,,490008495E
Lacey Drive,tfl_21-404-_-y05-6_qyPH39c.xml,,,490008895W
The Glade / Keston Avenue,tfl_21-404-_-y05-6_qyPH39c.xml,,,490008679S
The Glade / Keston Avenue,tfl_21-404-_-y05-6_qyPH39c.xml,,,490008679N
Coulsdon Road / Lacey Drive,tfl_21-404-_-y05-6_qyPH39c.xml,,,490008895N
Lion Green Road,tfl_21-404-_-y05-6_qyPH39c.xml,,,490009202D
Marlpit Lane,tfl_21-404-_-y05-6_qyPH39c.xml,,,490009684N
Marlpit Lane,tfl_21-404-_-y05-6_qyPH39c.xml,,,490009684S
Nineacres Way,tfl_21-404-_-y05-6_qyPH39c.xml,,,490010285E
Nineacres Way,tfl_21-404-_-y05-6_qyPH39c.xml,,,490010285W
Old Coulsdon / Tudor Rose,tfl_21-404-_-y05-6_qyPH39c.xml,,,490010535N
Old Coulsdon / Tudor Rose,tfl_21-404-_-y05-6_qyPH39c.xml,,,490010535S
Coulsdon Wood,tfl_21-404-_-y05-6_qyPH39c.xml,,,490011820E
Coulsdon Wood,tfl_21-404-_-y05-6_qyPH39c.xml,,,490011820W
Shirley Avenue,tfl_21-404-_-y05-6_qyPH39c.xml,,,490012093S
Oasis Academy Byron,tfl_21-404-_-y05-6_qyPH39c.xml,,,490012649E
Oasis Academy Byron,tfl_21-404-_-y05-6_qyPH39c.xml,,,490012649W
Army Reserve Centre,tfl_21-404-_-y05-6_qyPH39c.xml,,,490013199E
The Crossways,tfl_21-404-_-y05-6_qyPH39c.xml,,,490013317N
The Crossways,tfl_21-404-_-y05-6_qyPH39c.xml,,,490013317S2
The Crossways,tfl_21-404-_-y05-6_qyPH39c.xml,,,490015542S1
Windmill Close,tfl_21-404-_-y05-6_qyPH39c.xml,,,40004410092A
Caterham Drive /Waddington Ave,tfl_21-404-_-y05-6_qyPH39c.xml,,,490014106S2
Caterham Drive /Waddington Ave,tfl_21-404-_-y05-6_qyPH39c.xml,,,490014106S1
Homefield Road,tfl_21-404-_-y05-6_qyPH39c.xml,,,490014107E
Homefield Road,tfl_21-404-_-y05-6_qyPH39c.xml,,,490014107N
Westway Common,tfl_21-404-_-y05-6_qyPH39c.xml,,,40004410088B
York Gate,tfl_21-404-_-y05-6_qyPH39c.xml,,,40004410038A
The Glade,tfl_21-404-_-y05-6_qyPH39c.xml,,,490015305W
The Glade,tfl_21-404-_-y05-6_qyPH39c.xml,,,490015305W1
Westway Caterham,tfl_21-404-_-y05-6_qyPH39c.xml,,,40004410037A
Territorial Army Centre,tfl_21-404-_-y05-7.xml,,,490013199W
