route_link_id,from_stop,to_stop,distance,source_file
RL_21-465-_-y05-7-I-1-32,490011796N,490020192N,484,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-33,490020192N,490005121X,704,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-34,490005121X,490003663X,383,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-35,490003663X,490009048C,244,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-36,490009048C,490006490L,518,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-37,490006490L,490009615P,461,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-38,490009615P,490013597N,249,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-39,490013597N,490008338N,224,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-40,490008338N,490013474N,336,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-41,490013474N,490006501N,303,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-42,490006501N,490007205N,294,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-43,490007205N,490013628N,378,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-44,490013628N,490013457N,361,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-45,490013457N,490008949N,416,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-46,490008949N,490010075N,293,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-47,490010075N,490009395N,406,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-48,490009395N,490013036H,183,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-49,490013036H,490001285C,267,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-50,490001285C,490015165A,159,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-51,490015165A,490013315N,264,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-52,490013315N,490009627N,279,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-53,490009627N,490013035N,448,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-54,490013035N,490013037W,287,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-55,490013037W,490006364N,400,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-56,490006364N,490007595K,306,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-57,490007595K,490006412E3,408,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-I-1-58,490006412E3,490005800A2,375,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-1,490005800A16,490006412D1,755,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-2,490006412D1,490006412H,259,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-3,490006412H,490007595J,120,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-4,490007595J,490006364S,288,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-5,490006364S,490014817S,264,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-6,490014817S,490013037E,199,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-7,490013037E,490013034S,340,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-8,490013034S,490009627S,222,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-9,490009627S,490013315S,376,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-10,490013315S,490015165B,214,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-11,490015165B,490001285D,184,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-12,490001285D,490013036G,178,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-13,490013036G,490009395S,276,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-14,490009395S,490010075S,215,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-15,490010075S,490018574S,281,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-16,490018574S,490008949S,212,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-17,490008949S,490006089S,222,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-18,490006089S,490013457HU,321,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-19,490013457HU,490013628S,232,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-20,490013628S,490007205S,354,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-21,490007205S,490006501S,310,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-22,490006501S,490013474S,314,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-23,490013474S,490008338S1,271,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-24,490008338S1,490013597Q,302,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-25,490013597Q,490004328N,375,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-26,490004328N,490006490M,245,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-27,490006490M,490009048D,416,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-28,490009048D,490003663W,402,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-29,490003663W,490005121Y,357,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-30,490005121Y,490020192S,883,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-31,490020192S,490011796S,302,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-32,490011796S,490013552S,338,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-33,490013552S,40004408959B,1390,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-34,40004408959B,40004408192B,592,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-35,40004408192B,40004408226B,1160,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-36,40004408226B,40004408191B,470,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-37,40004408191B,40004408189B,472,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-38,40004408189B,40004408188B,589,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-39,40004408188B,40004408187B,393,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-40,40004408187B,40004408176B,419,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-41,40004408176B,40004408175B,208,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-42,40004408175B,40004408174B,457,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-43,40004408174B,40004408173B,1017,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-44,40004408173B,40004408172B,385,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-45,40004408172B,40004408134B,1898,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-46,40004408134B,40004408133B,1269,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-47,40004408133B,40004408132B,664,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-48,40004408132B,40004408131B,791,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-49,40004408131B,40004408016A,320,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-50,40004408016A,40004408130A,385,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-51,40004408130A,40004408129B,353,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-52,40004408129B,40004408238A,312,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-53,40004408238A,40004408128B,638,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-54,40004408128B,40004408240A,396,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-55,40004408240A,40004408115B,194,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-56,40004408115B,40004408114A,393,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-57,40004408114A,40004408113A,402,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-58,40004408113A,40004408112A,226,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-59,40004408112A,40004408111B,312,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-60,40004408111B,40004408086A,312,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-465-_-y05-7-O-2-61,40004408086A,40004408086B,385,tfl_21-465-_-y05-7_b3z8CFQ.xml
RL_21-R68-_-y05-58885-I-1-1,40004405136E,490007713E,379,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-2,490007713E,490007734W,262,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-3,490007734W,490013570W,423,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-4,490013570W,490007125W,506,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-5,490007125W,490007725N,344,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-6,490007725N,490010757N,238,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-7,490010757N,490007736N,287,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-8,490007736N,490013975N,501,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-9,490013975N,490007733N,256,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-10,490007733N,490007732N,107,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-11,490007732N,490010806N,314,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-12,490010806N,490008814E,339,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-13,490008814E,490010685E,209,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-14,490010685E,490010157E,188,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-15,490010157E,490013175E,353,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-16,490013175E,490004377E,289,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-17,490004377E,490013172C,281,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-18,490013172C,490004709E,399,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-19,490004709E,490013174E,238,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-20,490013174E,490009577N,449,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-21,490009577N,490007558N,177,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-22,490007558N,490009527SV,460,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-23,490009527SV,490009848N,138,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-24,490009848N,490011104N,401,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-25,490011104N,490011148R,425,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-26,490011148R,490015022H,395,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-27,490015022H,490009053E,320,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-28,490009053E,490005841R,199,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-29,490005841R,490005841U,396,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-30,490005841U,490012460N,313,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-31,490012460N,490005755E,399,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-32,490005755E,490007166B,727,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-33,490007166B,490013511C,316,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-34,490013511C,490011557E,541,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-35,490011557E,490012048E,200,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-36,490012048E,490009547SA,317,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-37,490009547SA,490015035SL,223,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-38,490015035SL,490009670E,330,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-39,490009670E,490010049N,256,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-40,490010049N,490016329N,212,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-41,490016329N,490016328W,669,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-42,490016328W,490018678W,60,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-43,490018678W,490016327N,184,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-44,490016327N,490016326S,403,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-1,490016326S,490016327S,384,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-2,490016327S,490018678E,240,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-3,490018678E,490016328S,198,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-4,490016328S,490016329S,494,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-5,490016329S,490010049W,177,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-6,490010049W,490009561W,383,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-7,490009561W,490009547SB,479,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-8,490009547SB,490012048SK,202,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-9,490012048SK,490011557W,360,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-10,490011557W,490000192S,382,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-11,490000192S,490013511F,155,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-12,490013511F,490011556J,498,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-13,490011556J,490005755W,657,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-14,490005755W,490004705W,211,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-15,490004705W,490012460S,278,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-16,490012460S,490005841T,312,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-17,490005841T,490018556E,279,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-18,490018556E,490009053W,320,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-19,490009053W,490015022W,332,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-20,490015022W,490001148Z,278,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-21,490001148Z,490011104S,358,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-22,490011104S,490009848S,378,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-23,490009848S,490009527ST,259,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-24,490009527ST,490007558S,561,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-25,490007558S,490009577S,90,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-26,490009577S,490012507W,482,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-27,490012507W,490004709W,297,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-28,490004709W,490013172D,231,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-29,490013172D,490004377F,381,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-30,490004377F,490013175W,272,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-31,490013175W,490010157W,263,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-32,490010157W,490010685W,421,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-33,490010685W,490010806S,393,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-34,490010806S,490007732S,230,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-35,490007732S,490007733S,276,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-36,490007733S,490013975S,380,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-37,490013975S,490007736S,419,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-38,490007736S,490010757S,256,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-39,490010757S,490007725S,203,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-40,490007725S,490007125E,248,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-41,490007125E,490012423E,305,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-42,490012423E,490013570E,413,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-43,490013570E,490007734E,389,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-44,490007734E,490007713D,219,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-45,490007713D,490007729F,208,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-46,490007729F,40004405136E,302,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-1,40004405136E,490007713E,379,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-2,490007713E,490007734W,262,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-3,490007734W,490013570W,423,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-4,490013570W,490007125W,506,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-5,490007125W,490007725N,344,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-6,490007725N,490010757N,238,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-7,490010757N,490007736N,287,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-8,490007736N,490013975N,501,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-9,490013975N,490007733N,256,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-10,490007733N,490007732N,107,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-11,490007732N,490010806N,314,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-12,490010806N,490008814E,339,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-13,490008814E,490010685E,209,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-14,490010685E,490010157E,188,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-15,490010157E,490013175E,353,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-16,490013175E,490004377E,289,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-17,490004377E,490013172C,281,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-18,490013172C,490004709E,399,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-19,490004709E,490013174E,238,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-20,490013174E,490009577N,449,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-21,490009577N,490007558N,177,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-22,490007558N,490009527SV,460,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-23,490009527SV,490009848N,138,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-24,490009848N,490011104N,401,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-25,490011104N,490011148R,425,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-26,490011148R,490015022H,395,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-27,490015022H,490009053E,320,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-28,490009053E,490005841R,199,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-29,490005841R,490005841U,396,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-30,490005841U,490012460N,313,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-31,490012460N,490005755E,399,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-32,490005755E,490007166B,727,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-33,490007166B,490013511C,316,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-34,490013511C,490011557E,541,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-35,490011557E,490012048E,200,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-36,490012048E,490009547SA,317,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-37,490009547SA,490015035SL,223,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-38,490015035SL,490009670E,330,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-39,490009670E,490010049N,256,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-40,490010049N,490016329N,212,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-41,490016329N,490016328W,669,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-42,490016328W,490018678W,60,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-43,490018678W,490016327N,184,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-44,490016327N,490016326S,403,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-1,490016326S,490016327S,384,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-2,490016327S,490018678E,240,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-3,490018678E,490016328S,198,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-4,490016328S,490016329S,494,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-5,490016329S,490010049W,177,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-6,490010049W,490009561W,383,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-7,490009561W,490009547SB,479,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-8,490009547SB,490012048SK,202,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-9,490012048SK,490011557W,360,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-10,490011557W,490000192S,382,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-11,490000192S,490013511F,155,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-12,490013511F,490011556J,498,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-13,490011556J,490005755W,657,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-14,490005755W,490004705W,211,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-15,490004705W,490012460S,278,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-16,490012460S,490005841T,312,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-17,490005841T,490018556E,279,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-18,490018556E,490009053W,320,tfl_21-R68-_-y05-58885_glMYlIz.xml
